id,name,level,diff,tags
10125,WaH!,IN Lv.15,15.500002,多押+32分+位移+定轨
10203,Aurora,AT  Lv.16,16.300007,多押+32分+变速+耐力+叠键+位移
10228,歌いましょう鳴らしましょう,IN Lv.16,16.000004,多押+32分+变速+高BPM+位移
10231,Misty Memory(Night Version),IN Lv.13,13.100001,高BPM
10341,See The Light,Fm Lv. 15,15.300001,楼梯+32分+叠键+定轨
10418,APOCALYPTICA(feat.符白牙),IN Lv.13,13.299996,-
10585,驟雨の狭間,IN  Lv.15,15.6,楼梯+爆发
10608,Light Me Up,IN Lv.14,14.600002,32分
1067,強風オールバック,IN Lv.13,13.0,楼梯+32分+纵连
10730,Glitch Street,IN  Lv.14,15.200005,底力+爆发
10760,Midnight Flux,IN Lv.13,13.8,爆发
1086,Frey's philosophy,AT Lv.16,16.095833,读谱
11032,粛聖!! ロリ神レクイエム☆,IN Lv.14,14.700003,楼梯+32分
11068,Doppelgängers,SP Lv.Yiep Verse,15.3,楼梯
11115,Λzure Vixen,AT Lv.16,16.400002,底力+多押+楼梯+变速+耐力+定轨
1124,WORLDINVADER,IN  LV.15,15.561111,爆发
11323,BLACK or WHITE?,IN Lv.15,15.0,底力+位移
11404,Kaleidoscope,IN Lv.13,13.400002,-
11461,はじまりのセツナ,IN Lv.14,14.200005,-
11489,Lazuladia,FM Lv.14,14.600002,多押+32分
11493,Caliburne～Story of the Legendary sword～,FM Lv.15,15.400002,底力+多押+32分+耐力+位移
11588,βlαnoir,AT Lv.16,16.4,底力+多押+楼梯+耐力+位移+定轨
11613,5ANK41！,YW Lv.13,13.0,-
11627,Crush Alcohol,MY Lv.15,15.300001,多押+32分+耐力+位移
11628,Crush Keyboard,MY Lv.15,15.900003,多押+变速+耐力+高BPM+位移
11728,"""411Ψ892""",IN Lv.15,15.900003,多押+楼梯+位移
11798,人マニア,IN Lv.15,15.300001,楼梯+纵连
11810,人マニア,AT  Lv.16,16.000004,底力+楼梯+32分+变速
11850,Fine Logic,IN  Lv.14,14.600002,楼梯
11864,Leave It Alone,IN Lv.14,14.200001,-
11877,Antler,IN Lv.14,14.700003,楼梯+爆发
11968,Elevate,IN Lv.15,15.400002,楼梯
12007,神っぽいな,MI Lv.13,13.0,-
12181,第六感,IN  Lv.14,14.0,纵连
12263,Swing Edge,IN Lv.15,15.400001,-
12432,Anniv.,IN Lv.13,13.700003,-
12488,deadeye,IN Lv.15,15.400002,楼梯+爆发
12750,ヰヱロウ,IN Lv.15,15.200001,爆发
12783,灾蚀的痕影 Silhouette of Catastrophe,IN Lv.15,15.400002,楼梯+变速+叠键+位移
1281,Ocean Blue,IN Lv.11,11.100009,-
1283,天津甕星,AT Lv.15,15.500002,楼梯
1292,海神寓拝,IN Lv.14,14.0,32分
12931,Everlasting Liberty,AT Lv.15+,15.900003,多押+32分+变速+高BPM+叠键+位移+定轨
12936,Unchosen,IN Lv.14,14.500002,爆发+纵连
1294,disperagioia, IN Lv.16+,16.699999,底力+多押+爆发+耐力+位移
130,Inverted World,IN Lv.15,15.0,爆发+位移
13415,reboot*the Starlight,IN  Lv.14,14.0,-
13474,恋ひ恋ふ縁,IN Lv.14,14.2,32分
1354,Hello (BPM) 2022,HD Lv.16,16.0,底力+多押+楼梯+32分+变速+耐力+纵连+叠键
13568,脳漿炸裂ガール,IN Lv.15+,15.900001,爆发+变速+位移
13796,はぐ,IN Lv.14,14.400002,-
13888,Birth Of The Sun,IN Lv.12,12.800011,楼梯
13940,POWER OF UNITY,IN  Lv.16,16.0,楼梯+32分+变速
14024,青龙•木,IN  Lv.14,14.300001,-
14048,Birds of Plague,IN Lv.15,15.500002,底力+位移
14222,花と、雪と、ドラムンベース,SP Lv.?,16.1,32分+叠键
14382,Caldwell 99,IN Lv.14,14.3,-
14447,踊,IN Lv.15,15.100004,耐力
14460,Jack-the-Ripper◆,IN Lv.14,14.5,-
14521,crazy cinema story,AT Lv.15,15.900003,底力
14539,燃えてもエンジョイ！宛城、炎上！！,IN Lv.15,15.3,楼梯+爆发
14578,洞穴,IN Lv.14,14.6,楼梯
1464,SILENT TEARS (feat.Yukacco),FM Lv.16,16.0,32分
1469,"Symphonic Rhapsody op.1 ""Aster""",IN Lv.14,14.0,32分
14705,ロータスイーター（feat.歌愛ユキ）,AT Lv.14,14.500002,32分
14728,MAXRAGE,EX Lv.15,15.733334,多押+变速+高BPM+位移
14945,α CMa,IN Lv.14,14.1,楼梯
15060,Aじゃないか,IN Lv.15,15.500002,32分
15074,Bl∞dmoon,IN Lv.15,15.800003,楼梯+定轨
1510,Androgynos,IN  Lv.14,14.700003,多押+楼梯
15129,To：Be Continued,AT Lv.16,16.6,底力+32分+变速+耐力+高BPM+位移+定轨
1513,Androgynos,MY  Lv.14,14.800003,楼梯+32分
1514,R.I.P.【絶望の戦闘】,IN  Lv.15,15.800003,-
15173,白花の天使,IN Lv.15,15.400002,爆发
15196,Swift,IN  Lv.14,14.800001,纵连
15224,Endure,IN Lv.15,15.7,楼梯
15350,Giselle,IN Lv.15,15.400001,楼梯
15446,AKKERA-COUNTRY-BOY,IN Lv.14,14.3,-
15451,Galaxy Friends,IN Lv.16+,16.700003,底力+多押+楼梯+变速+高BPM+位移+定轨
15459,时落之雨,IN Lv.?,12.2,-
15516,fragments.arc,IN  Lv.16,16.100004,底力+楼梯
15602,Earthquake,IN Lv.15,15.500002,楼梯+纵连
1566,Absolute Future,FM Lv.15,15.0,-
15769,Beyond the Rainbow,IN Lv.15,15.400002,高BPM
