id,name,level,difficulty,tags
10018,别让我担心,IN Lv.12,12.0,-
10051,星界ちゃんと可不ちゃんのおつかい合騒曲,IN Lv.15,15.600002,多押+32分+变速+耐力+高BPM+位移
10057,Endless Summer (LUM!X Remix),14,14.7,-
10061,Poppy,AT  Lv.16,16.300001,底力+多押+32分+爆发+耐力+高BPM+位移
10062,東の空から始まる世界,IN lv.13,13.199997,-
10079,Tell Your World,IN Lv.13,13.800003,-
10082,Energy Drink,IN  Lv.14,14.400002,楼梯+纵连+叠键
10086,粛聖!! ロリ神レクイエム☆,IN Lv.13,13.499999,楼梯
10093,安逸之野,IN Lv. 14,14.1,32分
10096,Crisscross,IN Lv.15,15.400002,-
10099,City,IN Lv.14,14.0,32分
10104,Water Quench,IN.不会填,12.60001,楼梯
10137,别让我担心,Cecilia Lv.12,12.7,-
10144,Skyward,XT Lv.14,14.0,多押+位移
10176,Super Nova Project,AT Lv.16,16.0,32分+耐力
10185,Cosmobreak,IN Lv.15,15.0,底力
10190,HUG AND KILL,AT Lv.16,16.600002,底力+多押+32分+变速+耐力+位移+定轨
10199,Orthodox,IN Lv.14,14.400002,楼梯
10248,Grimheart,<3,3.0,叠键
1025,Le Porteur d'Ombre,AT Lv.16,16.0,底力+多押+读谱+变速+耐力+高BPM+叠键+定轨
10253,但,IN Lv.14,14.299999,楼梯+32分+纵连
10260,Crush EXPERT,IN Lv.15,15.299999,纵连
10288,lost illusion,IN Lv.15,15.0,纵连
10297,愛にできることはまだあるかい,IN Lv.12,12.0,-
10311,阳光开朗大男孩,IN Lv.15,15.0,多押+32分+耐力+位移
10386,Controversial Awareness,AT  Lv.16,16.800003,底力+多押+楼梯+32分+变速+耐力+位移
10390,Harumachi Clover (Swing Arrangement),IN Lv.14,14.0,-
10396,粛圣‼︎ ロリ神レクイエム☆,ロリ15,15.400002,底力+耐力+纵连
10406,baby喵~,IN Lv.13,13.0,纵连
10409,ロータスイーター（feat.歌愛ユキ）,IN Lv.13,13.699998,楼梯+32分
10424,夢燈籠,AT Lv.14,14.200001,32分
10452,無意識レクイエム,無意識  Lv.514,15.4000025,楼梯+32分
10455,Controversial Awareness,IN Lv.15,15.900001,楼梯+变速+耐力+位移
10467,Sound Chimera,IN Lv.15,15.300001,楼梯+32分+变速
10475,Säkkijärven polkkaa,IN,15.200005,32分
10507,The Alone,IN Lv.13,13.200001,-
1051,666,AT Lv.16,16.800005,底力+多押+32分+爆发+变速+耐力+高BPM+位移
10511,Neon,AT LV.14,14.700003,32分+变速
10518,你呀你呀,IN Lv.12,12.500002,-
1053,The Spectre,IN Lv14,14.0,楼梯
10532,Materialize Anything,IN  Lv.15,15.700003,32分
10534,Astra walkthrough,FJC Lv.憋,16.0,底力+多押+楼梯+32分+变速+耐力+高BPM+纵连+叠键+位移+定轨
10536,迪斯科坦克,LN.14,14.0,32分+叠键+定轨
10561,Villain Virus,Crazier Ver.？,16.0,耐力+纵连+叠键
10571,天気,IN Lv.10,9.999999,-
10580,Azure Fantasies(Airally Remix),IN Lv.13,13.1,-
10611,colorful,IN Lv.14,14.300001,-
10616,Pierce,BMS,10.0,32分
10617,S.A.T.E.L.L.I.T.E.,AT Lv.16,16.700003,楼梯+32分+耐力+叠键+位移
10631,Chaos Emperor,IN Lv.15,15.400002,32分+耐力+定轨
10647,Unparalleled,IN Lv.15,15.700003,楼梯+位移
10664,Underworld,IN Lv.渊,15.400001,32分
10674,彁,IN Lv.15,10.0,底力+楼梯+变速+耐力+纵连
10677,スピカ（室女座）,AT Lv.15,15.300005,楼梯
10703,尘世闲游,IN Lv.13,13.499999,-
1072,WATER,AT Lv.14,14.900003,多押+32分+耐力+纵连
10726,phony,AT Lv.13,13.0,多押+32分+耐力+位移
10744,《Ж》,IN Lv.15,15.400002,底力+读谱+变速+高BPM+定轨
10750,Break Through Myself,AT LV.16+,16.800003,底力+多押+32分+变速+耐力+叠键+位移+定轨
10763,Cyka Blyat,不列 Lv.15,15.200001,多押+楼梯+32分+耐力+位移
10790,斜陽,IN lv.13,13.0,-
